index,pprey_name,entries,ppreystage,ppredstage,preystage,predstage,pred,BB,PB,PL,PS,MA,SG,ZS,ZM,ZL,ZG,AUR,SQX,BMD,BD,BG,BMS,DUN,BML,PWN,BFF,BIV,GEC,BC,HEP,HEC,FPS,POP,CHY,CHS,CSY,CSS,CSN,CDS,CNY,CNS,CHC,CYE,CKS,CRH,CRW,CRC,COH,COS,COD,COY,COR,CDR,CMS,CMF,CMH,PIS,SAL,SAF,FMM,FVS,ROC,MRO,DVR,MVR,SMD,FDF,HAP,DOG,SBL,SSK,RAT,SB,SP,BE,HSL,CSL,PIN,PHR,ROR,TOR,HUW,DL,DR,DC,DL_s,DR_s,DC_s
1,pPREY1BE1,82,pPREY1,BE1,1,1,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,8.23e-14,0,0,0,0,0,0,8.23e-14,0,0,0,0,0,0,0.231,3.95e-8,0.0148,0.0408,0.00813,0.00984,0.00813,0.0408,0.0492,0.00984,0.00813,0.0492,0.00984,0.00813,9.9e-8,0.00492,0.0148,9.84e-5,9.9e-8,0.0148,3.95e-10,2.95e-4,0.00837,8.03e-9,0.00295,9.84e-4,9.27e-15,8.86e-15,6.53e-14,6.59e-14,4.39e-9,3.22e-8,3.66e-15,2.93e-5,0,6.59e-14,0,0,0,6.59e-14,6.59e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,pPREY1BE2,82,pPREY1,BE2,1,2,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94e-7,0,0,0,0,0,0,2.46e-6,0,0,0,0,0,0,0.00235,0.049,0.00359,0.095,0.00163,7.63e-4,3.11e-6,0.00187,0.0145,1.74e-4,0.00554,0.0145,7.63e-4,0.00163,0.0828,0.0389,0.00103,0.00309,0.0828,0.00103,0.00189,0.0333,0.00814,0.231,0.00712,0.0752,1.67e-7,1.06e-7,6.72e-7,1.1e-7,1.29e-10,1.61e-9,2.48e-16,1.97e-6,0,7.86e-7,0,0,0,1.48e-5,3.55e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,pPREY1CDS1,82,pPREY1,CDS1,1,1,CDS,0,0,0,0,3.18e-11,0,3.34e-10,4.96762e-4,0.053728829,1.19e-9,1.19e-9,1.83e-9,4.55e-10,0.167162854,1.52e-9,2.02e-10,1.97e-10,0.0011,0.00194,6.34e-11,6.34e-11,0,0.005546974,0.001853774,0.00138,4.27e-6,4.46e-10,0.00762,0.00304,0.0114,0.0315,0.00627,0.00762,0.00627,0.0315,0.0381,0.00762,0.00627,0.0381,0.00762,0.00627,0.00762,0.00381,0.0114,7.61e-5,0.00762,0.0114,3.04e-5,2.29e-4,0.00648,6.17e-4,0.00228,7.61e-4,7.17e-12,6.83e-12,5e-11,5.07e-11,1.91e-11,6.48e-11,1.27e-20,6.34e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,pPREY1CDS2,82,pPREY1,CDS2,1,2,CDS,0,0,0,0,0,0,0,1.15e-11,0.0734,2.7e-9,2.7e-9,4.14e-9,0,0.006735159,3.46e-9,4.62e-10,0,8.37e-4,0.015,1.44e-10,0,0,1.44e-10,0.0287,0.0458,1.44e-5,1.02e-9,0.0173,0.0069,0.0259,0.0714,0.0143,0.0173,0.0143,0.0714,0.0864,0.0173,0.0143,0.0864,0.0173,0.0143,0.0173,0.00864,0.0259,1.73e-4,0.0173,0.0259,6.9e-5,5.18e-4,0.0147,0,0.00519,0.00173,0.00109,0,1.14e-10,1.15e-10,4.33e-11,1.48e-10,2.87e-20,1.44e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,pPREY1CHC1,82,pPREY1,CHC1,1,1,CHC,0,0,0,0,3.79e-11,0,3.98e-10,5.84e-4,0.06401407,1.41e-9,1.41e-9,2.18e-9,5.43e-10,0.196,1.8e-9,2.41e-10,2.35e-10,0.00133,0.00198,7.58e-11,7.58e-11,0,0.0061,0.00222,0.00165,5.03e-6,5.31e-10,0.00906,0.00362,0.0136,0.0375,0.00747,0.00906,0.00747,0.0375,0.0453,0.00906,0.00747,0.0453,0.00906,0.00747,0.00906,0.00453,0.0136,9.06e-5,0.00906,0.0136,3.62e-5,2.72e-4,0.00771,7.33e-4,0.00272,9.06e-4,8.55e-12,8.16e-12,5.95e-11,6.04e-11,2.28e-11,7.71e-11,1.52e-20,7.55e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,pPREY1CHC2,82,pPREY1,CHC2,1,2,CHC,0,0,0,0,0,0,0,1.87e-11,0.122,4.37e-9,4.37e-9,6.74e-9,0,0.010594344,5.61e-9,7.48e-10,0,0.00133,0.0212,2.33e-10,0,0,2.33e-10,0.0465,0.0743,2.33e-5,1.64e-9,0.0187,0.00748,0.028,0.077,0.0154,0.0187,0.0154,0.077,0.0936,0.0187,0.0154,0.0936,0.0187,0.0154,0.0187,0.00936,0.028,1.87e-4,0.0187,0.028,7.48e-5,5.61e-4,0.0159,0,0.00562,0.00187,0.00231,0,1.86e-10,1.87e-10,7.08e-11,2.39e-10,4.69e-20,2.33e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,pPREY1CHS1,82,pPREY1,CHS1,1,1,CHS,0,0,0,0,3.78e-11,0,3.98e-10,5.28e-4,0.065461423,1.4e-9,1.4e-9,2.17e-9,5.42e-10,0.2,1.81e-9,2.41e-10,2.35e-10,0.00131,0.00283,7.5e-11,7.5e-11,0,0.00574,0.00219,0.00151,4.86e-6,5.29e-10,0.00903,0.00361,0.0136,0.0375,0.00747,0.00903,0.00747,0.0375,0.0453,0.00903,0.00747,0.0453,0.00903,0.00747,0.00903,0.00453,0.0136,9.03e-5,0.00903,0.0136,3.61e-5,2.71e-4,0.00768,7.33e-4,0.00271,9.03e-4,8.51e-12,8.12e-12,5.95e-11,6.02e-11,2.28e-11,7.72e-11,1.51e-20,7.52e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,pPREY1CHS2,82,pPREY1,CHS2,1,2,CHS,0,0,0,0,0,0,0,5.04e-12,0.111,1.18e-9,1.18e-9,1.82e-9,0,0.076691415,1.52e-9,2.02e-10,0,2.02e-4,0.00602,6.27e-11,0,0,6.27e-11,0.00872,0.0136,4.03e-6,4.44e-10,0.00756,0.00302,0.0113,0.0312,0.00624,0.00756,0.00624,0.0312,0.0378,0.00756,0.00624,0.0378,0.00756,0.00624,0.00756,0.00378,0.0113,7.56e-5,0.00756,0.0113,3.02e-5,2.27e-4,0.00642,0,0.00227,7.56e-4,7.14e-12,0,5e-11,5.04e-11,1.91e-11,6.48e-11,1.27e-20,6.3e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,pPREY1CHY1,82,pPREY1,CHY1,1,1,CHY,0,0,0,0,2.52e-11,0,2.65e-10,3.81e-4,0.041156144,9.38e-10,9.38e-10,1.44e-9,3.61e-10,0.133,1.2e-9,1.61e-10,1.56e-10,8.97e-4,0.00202,5.01e-11,5.01e-11,0,0.00388,0.00146,0.00112,3.32e-6,3.54e-10,0.00603,0.00241,0.00906,0.0249,0.00498,0.00603,0.00498,0.0249,0.0303,0.00603,0.00498,0.0303,0.00603,0.00498,0.00603,0.00303,0.00906,6.03e-5,0.00603,0.00906,2.41e-5,1.81e-4,0.00513,4.9e-4,0.00181,6.03e-4,5.7e-12,5.43e-12,3.97e-11,4.02e-11,1.53e-11,5.13e-11,1e-20,5.03e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,pPREY1CHY2,82,pPREY1,CHY2,1,2,CHY,0,0,0,0,0,0,0,5.86e-12,0.0429,1.38e-9,1.38e-9,2.11e-9,0,0.006100531,1.76e-9,2.34e-10,0,3.96e-4,0.00618,7.33e-11,0,0,7.33e-11,0.0149,0.0239,7.02e-6,5.16e-10,0.00879,0.00352,0.0132,0.0363,0.00726,0.00879,0.00726,0.0363,0.0441,0.00879,0.00726,0.0441,0.00879,0.00726,0.00879,0.00441,0.0132,8.79e-5,0.00879,0.0132,3.52e-5,2.64e-4,0.00747,0,0.00264,8.79e-4,4.96e-4,0,5.85e-11,5.86e-11,2.21e-11,7.52e-11,1.47e-20,7.33e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
